Adoption ID,Animal Type,Breed,Age (Years),Adoption Fee,Adoption Date,City,Payment Method
A0001,Bird,Holland Lop,13,200,2023-03-02 00:00:00,Toronto,Online Transfer
A0002,Guinea Pig,American,10,100,2024-01-15 00:00:00,Ottawa,Online Transfer
A0003,Rabbit,Persian,8,50,2024-03-15 00:00:00,Calgary,Online Transfer
A0004,Guinea Pig,Labrador,0,150,2023-11-15 00:00:00,Toronto,Debit
A0005,Guinea Pig,American,14,75,2023-10-29 00:00:00,Ottawa,Online Transfer
A0006,Cat,Persian,14,75,2023-12-10 00:00:00,Toronto,Cash
A0007,Rabbit,Cockatiel,6,200,2023-01-11 00:00:00,Toronto,Credit Card
A0008,Rabbit,American,14,100,2023-03-03 00:00:00,Calgary,Credit Card
A0009,Rabbit,Bulldog,4,75,2023-08-14 00:00:00,Montreal,Online Transfer
A0010,Guinea Pig,Labrador,4,50,2023-06-02 00:00:00,Montreal,Credit Card
A0011,Bird,Persian,13,200,2023-11-06 00:00:00,Toronto,Debit
A0012,Rabbit,Persian,1,150,2023-08-31 00:00:00,Vancouver,Debit
A0013,Guinea Pig,Persian,10,200,2024-05-07 00:00:00,Ottawa,Credit Card
A0014,Cat,Cockatiel,2,150,2024-01-01 00:00:00,Vancouver,Debit
A0015,Bird,American,6,200,2023-11-26 00:00:00,Vancouver,Credit Card
A0016,Cat,Cockatiel,5,200,2023-04-17 00:00:00,Toronto,Credit Card
A0017,Bird,Siamese,11,200,2023-08-14 00:00:00,Toronto,Credit Card
A0018,Guinea Pig,Siamese,1,150,2023-08-06 00:00:00,Toronto,Online Transfer
A0019,Dog,American,5,150,2024-05-20 00:00:00,Toronto,Credit Card
A0020,Bird,Bulldog,1,200,2023-09-16 00:00:00,Montreal,Online Transfer
A0021,Cat,Cockatiel,1,75,2024-05-31 00:00:00,Toronto,Credit Card
A0022,Guinea Pig,Labrador,1,100,2023-02-23 00:00:00,Montreal,Credit Card
A0023,Bird,Persian,13,100,2023-02-16 00:00:00,Montreal,Credit Card
A0024,Dog,Persian,14,100,2024-06-04 00:00:00,Toronto,Debit
A0025,Dog,American,10,150,2023-04-09 00:00:00,Calgary,Online Transfer
A0026,Rabbit,Bulldog,2,150,2023-01-20 00:00:00,Ottawa,Online Transfer
A0027,Rabbit,Siamese,14,75,2024-05-04 00:00:00,Vancouver,Credit Card
A0028,Cat,Siamese,1,100,2024-02-23 00:00:00,Montreal,Credit Card
A0029,Bird,Persian,3,100,2023-03-03 00:00:00,Ottawa,Debit
A0030,Bird,American,8,200,2023-05-25 00:00:00,Calgary,Debit
A0031,Rabbit,Cockatiel,5,150,2023-08-04 00:00:00,Vancouver,Debit
A0032,Bird,Siamese,0,100,2023-01-03 00:00:00,Vancouver,Online Transfer
A0033,Bird,Cockatiel,7,75,2023-06-09 00:00:00,Montreal,Online Transfer
A0034,Dog,Bulldog,14,75,2023-04-30 00:00:00,Toronto,Online Transfer
A0035,Rabbit,Siamese,11,100,2023-03-30 00:00:00,Calgary,Credit Card
A0036,Guinea Pig,Siamese,13,150,2023-11-25 00:00:00,Montreal,Online Transfer
A0037,Rabbit,Holland Lop,6,75,2023-12-23 00:00:00,Calgary,Cash
A0038,Guinea Pig,Siamese,9,200,2023-09-24 00:00:00,Toronto,Cash
A0039,Dog,Labrador,2,75,2023-11-19 00:00:00,Toronto,Debit
A0040,Cat,American,0,50,2024-06-24 00:00:00,Montreal,Online Transfer
A0041,Bird,American,4,50,2023-07-14 00:00:00,Toronto,Cash
A0042,Dog,Cockatiel,12,150,2023-11-28 00:00:00,Ottawa,Debit
A0043,Bird,Bulldog,3,100,2023-06-19 00:00:00,Vancouver,Online Transfer
A0044,Cat,Siamese,9,150,2024-06-04 00:00:00,Montreal,Credit Card
A0045,Cat,Labrador,7,150,2024-04-07 00:00:00,Calgary,Cash
A0046,Dog,Cockatiel,0,150,2023-02-09 00:00:00,Ottawa,Credit Card
A0047,Cat,Holland Lop,9,150,2024-06-20 00:00:00,Montreal,Online Transfer
A0048,Guinea Pig,Cockatiel,0,200,2023-09-18 00:00:00,Toronto,Cash
A0049,Cat,Cockatiel,11,200,2024-01-30 00:00:00,Toronto,Online Transfer
A0050,Bird,Siamese,3,75,2023-08-14 00:00:00,Toronto,Credit Card
A0051,Bird,Holland Lop,7,50,2023-05-04 00:00:00,Toronto,Cash
A0052,Bird,Cockatiel,4,150,2023-02-07 00:00:00,Calgary,Credit Card
A0053,Bird,Labrador,1,75,2023-11-24 00:00:00,Ottawa,Online Transfer
A0054,Guinea Pig,Labrador,5,50,2023-09-08 00:00:00,Vancouver,Online Transfer
A0055,Rabbit,American,4,100,2023-06-25 00:00:00,Calgary,Credit Card
A0056,Dog,Holland Lop,1,200,2024-03-29 00:00:00,Calgary,Cash
A0057,Bird,Holland Lop,12,50,2023-02-06 00:00:00,Vancouver,Credit Card
A0058,Cat,American,13,100,2023-11-12 00:00:00,Vancouver,Online Transfer
A0059,Bird,Cockatiel,10,50,2023-04-24 00:00:00,Toronto,Credit Card
A0060,Cat,Holland Lop,10,200,2023-02-09 00:00:00,Calgary,Online Transfer
A0061,Cat,Labrador,10,200,2023-10-28 00:00:00,Montreal,Credit Card
A0062,Bird,Labrador,2,75,2023-08-12 00:00:00,Vancouver,Cash
A0063,Guinea Pig,Siamese,14,150,2023-11-14 00:00:00,Vancouver,Cash
A0064,Cat,Holland Lop,8,50,2023-12-15 00:00:00,Ottawa,Credit Card
A0065,Cat,Cockatiel,6,50,2023-04-25 00:00:00,Montreal,Credit Card
